primaryKey,sector,ward,structureName,deity,areaSqFt,footfall,dateOfEstablishment,obstructingTrafficOrViolating,registration,relevance,remarks,latitude,longitude,status
2,S5,183,Shivnarayan Temple Mandir,Shiva,4543.07,100,1999-01-01,No,Charity Commission,Moderate,"One of the oldest and well-revered temples in the area. In earlier days, the open space near Bhaiya Line, close to the morning school, was well known for kusthi (traditional wrestling) training.",19.0488483,72.8584363,Consolidate
8,S5,183,Shree Shiv Shankar Mandir,Shiva,2835.79,50,1979-06-17,No,Charity Commission,Moderate,The temple is around 50-60 years old. The caretaker of the temple resides in the temple premises. The temple houses a big Shiv lingum which is physically movable.,19.0426928,72.8472531,Consolidate
23,S1,189,shree Ayyappa Mandir,Ayyappa,997.25,30,1974-05-15,Yes,Charity Commission,High,"Primarily worshipped by the South Indian community, the temple is well-known across Dharavi. It holds special significance during the Sabarimala Yatra. The temple is located at a major road junction in Dharavi.",19.0378723,72.8534476,Consolidate
3,S3,NA,Bethel Pentecostal Church,Church,4535.2,0,1976-07-13,Yes,Charity Commission,High,"This church was established in 1960. It is a large, three-story building that is open every morning and also holds services every Sunday. The facility includes a nursery school and a day care center.",19.0415477,72.8550471,Relocate
13,S2,185,Dharavi Welfare society,NA,1525.88,NA,1998-05-06,Yes,Waqf Board,NA,Not found,19.042689,72.8471801,Consolidate
15,S5,183,Hanuman Mandir,Hanuman,1490.97,50,1979-06-30,No,-,High,The temple is over 50 years old and houses multiple deities. Naik Nagar Rahivashi Seva Mandal organizes a Ganpati Pandal in front of the temple during Ganesh Chaturthi festival celebrations. The temple witnesses significant number of devotees from North Indian community.,19.04748667,72.86339333,Regularize
63,S6,189,Shree Dashnami hanuman temple,Hanuman,387.28,80,1997-12-30,Yes,-,High,"Established in 1958, the temple sees heavy footfall on Mondays, Tuesdays, and Saturdays. It is visited by all Hindu communities, though the majority of devotees are Gujarati due to local demography. The landowner on which the temple stands is reportedly involved in fraudulent activities.",19.0426609,72.8472154,Consolidate
19,S3,188,Shree Hanuman mandir,Hanuman,1308.75,NA,1984-11-05,Yes,Charity Commission,NA,Not found,19.0450107,72.8536225,Consolidate
10,S4,NA,Church,Church,1879.49,0,1994-03-20,Yes,Charity Commission,High,"Our Lady of perpetual succour church, estd.-1979, it is a big church located deep inside the locality. However the footfall is quite high with more than 150 footfalls on Sunday. Tamil Christians visit here.",19.04383333,72.85683667,Relocate
218,S3,188,shree Vinayak Mandir,Ganesh,21.21,25,2009-02-27,Yes,Charity Commission,High,"The temple, built and maintained by the South Indian community, is located in an area with a mixed South Indian and Muslim population. Believed to be over 100 years old, it holds major cultural significance, with Ganesh Chaturthi celebrated on a large scale.",19.0427883,72.847169,Consolidate
11,S5,183,Ayyappa Mandir,Ayyappa,1737.47,60,1990-02-03,Yes,Charity Commission,High,"Ayyappa Mandir, built in 1985, is mainly worshipped by the Tamil-speaking community living nearby, who have been managing the pooja rituals and the temple's upkeep for decades, especially during the Mandala season and Makara Jyothi festival. The Mandala season is a 41-day period of devotion observed by Ayyappa devotees, ending with the Makara Jyothi festival in January. During this time, special poojas and bhajans are arranged.",19.0495534,72.8566733,Relocate
25,S2,183,Shree Vinayak Mandir,Ganesh,919.37,NA,1976-01-17,Yes,-,NA,Not found,0,0,Consolidate
26,S2,184,Muthu Mariamman Temple,Muthumariyamman,907.01,30,1999-07-13,Yes,Charity Commission,Moderate,"All three temples of the South Indian community of this area, Mariamman Temple, Shri Mariyamman Devi Mandir, and Muthu Mariyamma Mandir, are over 50 years old. There is a large open space in front of the Muthu Mariamman temple, and the surrounding area is predominantly inhabited by the South Indian community.",19.0428094,72.8471596,Consolidate
12,S1,187,Shree kartik swami mandir,Kartikeya,1707.02,50,2007-11-27,Yes,Charity Commission,High,"The temple is spacious enough for 50–100 devotees. It houses Ayyappa Swami and all nine Grahas. It is well-maintained and sees the highest footfall during the 40-day Ayyappa Swami fast, with Tuesdays and Fridays usually busy on other days too. Visitors come from Gujarati, Marathi, and South Indian communities. Despite good upkeep, the building structure is showing signs of wear.",19.043335,72.8473129,Relocate
18,S1,187,shree Mahamayee amman devasthan,Muthumariyamman,1401.98,100,1948-04-21,Yes,Charity Commission,High,"The 100-year-old temple, maintained by the third generation of the same family, is known as the oldest Goddess temple in the locality. It holds special significance for female devotees, especially during Navratri when extensive Poojas are conducted. The family prepares Prasad every Tuesday and Friday. Women devotees from South Indian, Gujarati, and Marathi communities form the majority of visitors. The temple houses many deities and is well-maintained. The family resides on the first floor of the temple structure and also maintains two additional temples across the road. The temple is a prominent landmark in the area due to its popularity.",19.04283,72.8475369,Relocate
31,S3,188,Thangamman Mata Mandir,Durga,796.32,30,1999-05-13,Yes,Charity Commission,High,"The area is predominantly South Indian, with the temple built and maintained by the community. Various rituals and festivals are regularly performed at the temple.",19.0417874,72.8539768,Consolidate
33,S4,186,Shri Adhishakhti Renukadevi Mandir,Renuka,778.76,40,1981-01-01,Yes,Charity Commission,High,"The 50-year-old private temple, owned by Laxmibai Pol's family, is mostly visited by female devotees.",19.0444016,72.855256,Consolidate
34,S2,184,Shiv Mandir,Shiva,772.26,20,1972-01-01,Yes,Charity Commission,Moderate,MP Varsha Gaikwad donated for the renovation of the temple. Her nameplate is placed on the upper part of the temple. This temple is located in a very narrow lane but is average in size and is 20 years old.,19.0454989,72.86057,Consolidate
41,S4,186,Thangamariamman Devi Mandir,Thangamariamman,579.39,50,2004-12-30,Yes,Charity Commission,High,"The temple, primarily visited by Tamil devotees, is large and houses many deities. It is located under a tree with a seating area for visitors.",19.04177333,72.85554333,Consolidate
37,S2,185,shree saibaba mandir,Sai Baba,732.61,50,1999-05-31,Yes,Charity Commission,Moderate,The temple is maintained by a Ganesh Vikas Mandal run by Marathi community youth.,19.0426903,72.8472457,Consolidate
39,S5,183,Shri Vishwaruba aanjanyar mandir,Hanuman,623.77,25,1997-06-07,Yes,Charity Commission,Moderate,"Shri Vishwaroopa Anjaneya Mandir is a temple dedicated to Lord Hanuman, worshipped mainly by the South Indian Nadar community in Rajiv Gandhi Nagar and Transit Camp.",19.049185,72.85533667,Consolidate
44,S2,185,Om shiv Shakti Mariyamman aalayam mandir,Mariyamman,547.24,100,1945-10-22,No,-,High,"In Social Nagar and Ganesh Vikas Nagar, the Nadar South Indian community, making up about 80% of residents, regularly visits and maintains the Mariyamma Temple Sansthan.",19.0426451,72.8472385,Regularize
21,S5,183,Shree Shiv Shankar Mandir,Shiva,1202.32,50,1984-10-01,Yes,-,Moderate,"This temple was built in 1990, and both the Marathi and North Indian communities visit the temple for prayers.",19.0522267,72.865689,Relocate
43,S3,188,shree Hanuman mandir,Hanuman,560.19,30,1950-05-29,Yes,-,High,"Located on Sant Kakaya Marg, the temple is over 70–80 years old and predominantly serves Marathi community alongside a sizable South Indian population.",19.04414333,72.854375,Consolidate
78,S2,184,Shri Mariyamman Devi Mandir,Mariyamman,280.51,40,2014-05-14,Yes,Charity Commission,High,"The temple, approximately 52 years old, is located near an open space where festivals are celebrated. The surrounding area is home to both South Indian and Marathi communities.",19.0451426,72.8602043,Consolidate
46,S4,186,Shree Mahmai Marayaaman Mandir,Mariyamman,519.29,70,1976-01-14,Yes,Charity Commission,High,The temple is primarily visited by Tamil devotees. It remains closed during the day and opens for some hours in the evening.,19.0446108,72.8567692,Consolidate
48,S5,183,Sai mandir,Sai Baba,504.24,15,1999-10-16,No,Charity Commission,Low,,19.04970167,72.86115333,Consolidate
49,S2,183,Durga Mata Mandir,Durga,495.43,12,1977-08-21,Yes,-,Low,,19.0415045,72.8572852,Consolidate
62,S1,189,Sai Baba mandir,Sai Baba,389.6,5,2002-08-13,Yes,Charity Commission,Low,"The temple is well-maintained and is located inside Anand Society, primarily worshipped by society residents.",19.0426498,72.8472215,Consolidate
54,S2,185,shree venkateshwar telgu seva sangh,Venkateshwara,449.41,30,1987-01-01,Yes,Charity Commission,Low,"Shree Venkateshwar Telugu Seva Sangh manages a temple dedicated to Lord Venkateshwara, regularly visited by the Telugu community for worship and cultural events.",0,0,Consolidate
56,S4,186,Shree Gurudev Datta Mandir,Dattatreya,438.8,10,1980-10-03,Yes,Charity Commission,Low,It's a small temple situated in the Koliwada area.,19.044285,72.85456333,Consolidate
58,S2,185,ayappa mandir,Ayyappa,413.36,20,1983-08-24,Yes,Charity Commission,Moderate,In front of the temple is an open space surrounded by chawls inhabited mainly by the South Indian community.,19.0427147,72.847201,Consolidate
24,S1,189,Shitladevi Mandir,Parvati,974.64,30,1983-07-09,Yes,Charity Commission,High,"Built by the South Indian community, which forms the local majority, the temple is large, well-maintained, and located on the main road Takandas Kataria Marg. It is worshipped by people from all nearby communities.",19.0367365,72.8528695,Relocate
157,S3,188,Shree Hanuman mandir,Hanuman,89.21,8,2023-11-06,No,Charity Commission,Moderate,"The temple, over 50 years old, is well-maintained and located in an area where Marathis form the majority.",19.044005,72.854335,Consolidate
73,S6,189,sai baba,Sai Baba,310.83,10,1991-12-29,Yes,Charity Commission,Moderate,"The temple is maintained and used by the local community, with Marathis forming the majority of the nearby population.",19.0427992,72.847172,Consolidate
27,S5,183,"Shree Vithal Rakhumai Mandir, Shree Sant Rohidas Seva Mandal",Vithal Rakhumai,867.49,120,1978-08-28,Yes,Charity Commission,High,"Vitthal Rukmini temple is dedicated to Lord Vitthal and his consort Rukmini. It holds special meaning for the Marathi-speaking Varkari community and sees large crowds, especially on Ekadashi days. The temple functions as a vibrant center for Haripath, aartis, and festival gatherings in the neighborhood. Most of the devotees are from the Marathi community, and the temple is managed by Sant Rohidas Seva Mandal.",19.0490185,72.8597049,Relocate
64,S5,183,Shree Shaneshwar Mandir,Shani,386.82,25,1987-12-30,Yes,-,Moderate,Shani temples are often built at road junctions or under trees and are visited especially on Saturdays by people of all communities.,19.0427029,72.8472272,Consolidate
65,S1,189,vaishnav devi Mandir,Durga,372.62,10,2001-02-25,Yes,Charity Commission,Low,"Believed to be over 60 years old, this is the only Devi Mandir in the area with a deity, holding special significance particularly for women in the community. While the main temple structure is small, it has a larger, well-maintained premises with a sacred tree. The temple was renovated with support from former MP Mumbai South Central, Shri Rahul Shewale.",19.0426501,72.8472166,Consolidate
67,S4,186,Pugal Pettra Perumal Sasthan Temple,Perumal,360.26,10,1952-07-13,Yes,-,Low,"The temple, located inside a Muslim locality next to a mosque is primarily visited by the Tamil community for the Pongal event. Visitor numbers are low due to its location.",19.0450048,72.8579884,Consolidate
68,S2,183,Mandir,NA,351.74,NA,1990-05-31,Yes,-,NA,Not found,19.04350833,72.857205,Consolidate
70,S1,187,Shri Sudalai Mandir,Sudalai Madan,343.94,30,1998-04-04,Yes,Charity Commission,Moderate,"Established in 1983, the temple is maintained by the third generation of a family living next door. It is primarily visited by the Tamil community, with many devotees also coming from the nearby Shree Mahamayee Amman Devasthan. The temple is most active in March, while regular activity is limited to one evening Arti on Tuesdays and Fridays.",19.0427956,72.8474653,Consolidate
83,S6,189,Om Sai Mitra Mandal,Sai Baba,250.62,10,2012-04-18,Yes,Charity Commission,Moderate,"The temple is located in an open space adjacent to the railway lines, serving a mixed community. It is registered under the name Om Sai Mitra Mandal.",0,0,Consolidate
87,S5,183,Sai Mandir,Sai Baba,240.06,20,2010-09-08,Yes,Charity Commission,Low,This is a big temple but mostly closed and not actively used.,19.042672,72.8472563,Consolidate
74,S2,183,Shree Ganesh Mandir,Ganesh,309.84,20,1988-06-02,Yes,Charity Commission,Low,,0,0,Consolidate
76,S3,188,temple,NA,305.97,NA,1989-01-01,Yes,Charity Commission,NA,Not found,0,0,Consolidate
77,S4,186,shree tulja bhavani mandir,Tulja Bhavani,302.45,5,1983-11-18,No,Charity Commission,Low,The temple is associated with the Dharavi Koliwada Sarva Janik Navratri Utsav Mandal and hosts Navratri celebrations.,19.04797333,72.856455,Consolidate
254,S4,186,Shree shiv mandir,Shiva,8.63,10,2010-10-08,Yes,Charity Commission,Low,"Located deep inside the slum, the temple is of moderate size.",19.04336,72.85469667,Consolidate
80,S2,184,Gulfadevi Mandir,Gulfa Devi,259.86,10,2005-07-15,Yes,Charity Commission,Moderate,"The temple is of average size, over 30 to 40 years old, and situated in an area inhabited by Gujarati and North Indian communities.",19.0467,72.86082,Consolidate
81,S2,183,Ayyappan Mandir,Ayyappa,257.75,150,1991-12-07,Yes,Charity Commission,High,"This Ayyappa temple is managed by the Ayunthumalai Ayyappa Trust and is located in front of the sports club. In 1998, there was a fire in this area, and the surroundings were badly damaged. At that time, the temple was very small and had no proper structure. But the Ayunthumalai Ayyappa Trust, along with the local South Indian community, collected funds and rebuilt the temple. Today, it is one of the cleanest and well-maintained temples in Dharavi.",19.04129,72.85694667,Consolidate
169,S3,188,shree Ganapati Mandir,Ganesh,63.65,NA,2016-09-13,No,Charity Commission,NA,Not found,19.04256167,72.85377333,Consolidate
85,S4,186,Mata MahakaliDevi Mandir,Kali,241.09,15,1997-07-13,Yes,Charity Commission,Moderate,The temple mainly sees most visitors during the Navratri festival.,19.0428,72.85608667,Consolidate
86,S6,189,ganpati mandir,Ganesh,240.93,10,2001-01-18,Yes,Charity Commission,Moderate,"Shri Vardamitra Mandir is a large, well-maintained, and easily accessible temple. Most devotees are Marathi, with others from UP also visiting regularly.",19.042868,72.8471024,Consolidate
91,S6,189,sai mandir,Sai Baba,216.25,50,2004-09-07,Yes,Charity Commission,High,"The temple is very large and well-maintained, primarily visited by nearby Marathi and UP residents. It is located right next to the area where the Ganpati pandal is set up annually.",19.0426732,72.8472017,Consolidate
88,S5,183,Shree Ganpati Mandir,Ganesh,232.23,25,1980-04-07,Yes,-,Moderate,"This is a small, old temple primarily visited by Marathi Hindu residents of Jumma Seth Chawl and Buddhiram Chawl in Kala Qilla. During Ganeshotsav, special pujas are performed here, and the crowd is relatively higher than the usual daily footfall.",19.048835,72.85963667,Consolidate
183,S2,185,Mata yallamma Seva Sansthan,Yallamma,52.21,60,2016-12-31,Yes,Charity Commission,Moderate,"Mata Yallamma, also known as Renuka Devi, is a powerful and revered form of the Mother Goddess.",19.0426523,72.8472185,Consolidate
90,S3,187,Shree Vinayak Mandir,Ganesh,217.2,80,1993-05-26,Yes,-,High,"The temple situated away from the main road, features a new structure and is well-maintained. It is visited by Gujarati, Marathi, and South Indian communities.",19.04472167,72.84924333,Consolidate
102,S4,186,Shree Saibaba Mandir,Sai Baba,184.2,25,2000-04-01,Yes,Charity Commission,Low,"The temple is mostly visited by devotees on Thursdays, with little activity at other times.",19.04263167,72.85373667,Consolidate
92,S6,189,shree Shakti Vinayak mandir,Ganesh,212.22,20,1999-12-30,No,Charity Commission,Moderate,The Shri Shakti Vinayagar Temple is located next to a South Indian locality housing 10–15 families. It is visited by all Hindu communities.,19.042662,72.8472084,Consolidate
93,S4,186,Jay ambe mandir,Amba,212.16,20,1986-06-12,No,-,Moderate,"Established in 1986, the temple celebrates Navratri Utsav. Found to be closed throughout the day.",19.04612167,72.857155,Consolidate
50,S6,189,Shree Shiv Mandir,Shiva,482.2,20,2022-12-31,Yes,Charity Commission,Moderate,"The temple, over 50 years old, is situated next to the railway quarters and has an old banyan tree opposite it. It is registered under the name Shiv Shakti Mitra Mandal.",19.03421833,72.84938167,Consolidate
95,S2,185,shree guru dattatray krupa bhakti janseva samiti,Dattatreya,205.41,50,1999-01-20,Yes,Charity Commission,Moderate,"Shree Guru Dattatray Krupa Bhakti Janseva Samiti, located in Mahatma Gandhi Nagar Chawl, manages the temple dedicated to Lord Dattatreya, where weekly bhajans are conducted.",0,0,Consolidate
97,S2,183,Shree Ram Mandir,Ram,203.92,NA,1988-09-28,Yes,Charity Commission,NA,Not found,19.0420718,72.8566699,Consolidate
98,S2,183,Shri Hanuman Mandir,Hanuman,199.9,20,2002-07-27,No,Charity Commission,Low,"This small temple was built in 2005 and is located in the Mahamadam Chawl of Rajiv Gandhi Nagar. There is a platform (chabutara) near the temple which people consider as part of the temple. Local people from nearby houses come there regularly, sit for some time, and go. It's mostly the same nearby people who sit there daily.",19.042675,72.85805,Consolidate
99,S4,186,Jay Hanuman mandir,Hanuman,190.9,70,1965-05-06,No,Charity Commission,Moderate,"Located in Navi Chawl within Janmabhoomi Krida Mandal, the temple remains open throughout the day and serves as a space for active public interaction.",19.04328333,72.856745,Consolidate
101,S5,183,Shriman Ayya Vaikunda Swamy Tharmapathi Temple,Vishnu,186.01,25,2005-03-17,Yes,Charity Commission,Low,"The Vishnu temple is mostly visited by the South Indian community in the area. This temple has one idol and a built-up space, but there is usually not much crowd inside the temple.",19.04850333,72.85550833,Consolidate
118,S6,189,Sai mandir,Sai Baba,153.94,10,1988-01-13,No,-,Moderate,"The temple is large and well-maintained, with visitors limited to residents of the nearby railway quarters.",19.0323,72.84905667,Consolidate
60,S4,186,Shree Ganpati Mandir,Ganesh,398.38,25,2010-10-08,Yes,Charity Commission,Moderate,"Established in 1975, it has a shed. Many visitors sit there to rest, and it is a spot for public chatter. Devotees visit during Ganesh Chaturthi.",19.04341167,72.8547,Consolidate
104,S2,185,"Kala Hanuman Mandir, Sri Varam Tharum Anjinayar Seva Sanstha",Hanuman,182.04,50,1982-10-02,Yes,-,Moderate,"The temple is managed by the Kunchikorve community, which is one of the South Indian communities present in Dharavi. This temple is located at the Dhobi Ghat. This temple is more than 40 years old. The area around the temple is predominantly inhabited by South Indian residents, as well as members of the Buddhist and Scheduled Caste (SC) Marathi communities.",19.03776333,72.85220833,Consolidate
105,S1,187,Shri Mutharam Mandir,Mutharamman,181.85,50,1955-04-21,Yes,Charity Commission,Low,"The temple’s significance is linked to the Shree Mahamayee Amman Devasthan across the road, both maintained by the same family. Though small, the temple is well-maintained and mainly visited by South Indian female devotees.",19.04280833,72.84757167,Consolidate
109,S2,184,Muthu Mariyamma Samiti,Kali,173.28,40,2005-04-15,Yes,Charity Commission,Moderate,"Located on the main road of the Social Nagar market area, this temple is popularly known as the 'Madras Temple' which remains open throughout the day and closes only at night.",0,0,Consolidate
111,S5,183,Hanuman Mandir,Hanuman,170.65,20,1998-05-14,Yes,Charity Commission,Low,"There is enough space for the temple, but it doesn’t have a proper structure. Also, there is some garbage around the area.",19.0499659,72.8600257,Consolidate
112,S2,183,Shri Nilkant Mahadev Mandir Seva Samiti,Shiva,169.22,NA,1985-04-14,Yes,-,NA,Not found,19.04644833,72.86111333,Consolidate
189,S1,189,shiv unnati Sanstha,Shiva,37.76,5,2018-07-20,Yes,Charity Commission,Low,"The temple is small, recently renovated temple and is maintained by the adjacent household and kept clean. Though open to all, it is primarily worshipped by the North Indian community. Locals believe it was established over 50 years ago.",19.042662,72.8472196,Consolidate
114,S5,183,Shri Devi Karumariyamman Mandir,Karumariyamman,157.46,120,1986-12-31,Yes,-,High,"Goddess Karumariyamman is a powerful village deity known for healing, rain, and protection. This temple was built by the local South Indian (mainly Tamil/Telugu) community and often serves as a cultural centre where neem-leaf rituals, bhajans, and healing prayers are performed. Devotees, including women seeking relief from illness, visit mainly during the Tamil Aadi month. This temple was built in 1980 and is located near Babasaheb Ambedkar Chawl, close to the Shetkari Kamgar Paksha office. The temple remains open from 9:30 AM to 11:45 AM and 4:15 PM to 7:15 PM.",19.04859833,72.85628167,Consolidate
117,S2,185,kollampuramma temple,Kollampuramma,154.22,55,1986-12-31,No,-,Moderate,"The Kollampuramma Temple, located in Vijay Nagar, is a revered spiritual and cultural center for the South Indians. Kollampuramma is believed to be a local village Goddess (grama devata), worshipped primarily by Telugu and Tamil communities.",0,0,Consolidate
